Acres Burned,Latitude,Longitude,Incident Start
200.0,41.485,-121.851,2015-02-24T12:15:00Z
80.0,32.6449163,-116.9454387,2015-06-26T16:06:00Z
137.0,40.050833333333,-120.70166666667,2015-04-13T05:30:00Z
1049.0,33.884313,-117.642759,2015-04-18T18:12:00Z
692.0,37.08312,-121.06963,2015-05-11T10:26:00Z
20.0,41.1513,-123.8292,2015-06-10T07:42:00Z
1542.0,40.924,-123.168,2015-06-10T15:00:00Z
67.0,35.77937,-120.19482,2015-06-15T15:46:00Z
38.0,38.5287,-122.3415,2015-06-16T14:27:00Z
60.0,38.260777,-121.135426,2015-06-16T16:42:00Z
55.0,40.0133,-122.552,2015-06-17T12:50:00Z
171.0,32.9421,-116.8534,2015-06-17T17:03:00Z
31359.0,34.160277777778,-116.89277777778,2015-06-17T15:52:00Z
158.0,39.2688,-121.26471,2015-06-18T13:07:00Z
920.0,37.165767,-119.523943,2015-06-18T21:00:00Z
135.0,37.072561,-119.6958,2015-06-21T12:08:00Z
60.0,40.875667,-121.033667,2015-06-19T16:15:00Z
533.0,37.974123,-121.833751,2015-06-24T16:15:00Z
0.0,38.598056,-119.751944,2015-06-19T19:00:00Z
415.0,34.361007,-118.535793,2015-06-24T13:22:00Z
100.0,34.165974,-117.243878,2015-06-25T18:30:00Z
19.0,38.519132,-122.181878,2015-06-27T12:51:00Z
35.0,39.7806004,-123.248214,2015-06-28T13:30:00Z
170.0,39.8448,-122.3638,2015-07-04T16:33:00Z
23.0,39.0263,-123.303,2015-07-04T15:30:00Z
150.0,38.4113,-122.0789,2015-07-06T10:47:00Z
40.0,38.1029,-122.1578,2015-07-10T13:36:00Z
18.0,40.5953,-122.4397,2015-07-07T12:34:00Z
54.0,34.0783472,-117.0487863,2015-07-12T14:46:00Z
95.0,35.7183,-121.0157,2015-07-10T12:41:00Z
21.0,33.986204,-117.43942,2015-07-12T13:52:00Z
214.0,33.7626,-117.7274,2015-07-13T10:47:00Z
181.0,41.8048,-122.5029,2015-07-13T17:56:00Z
25.0,33.21407,-116.73472,2015-07-16T11:30:00Z
4250.0,34.339,-117.478,2015-07-17T14:33:00Z
200.0,34.367,-117.683,2015-07-17T21:30:00Z
25.0,36.8727,-121.5681,2015-07-20T13:23:00Z
430.0,36.085212,-118.824235,2015-07-21T12:35:00Z
24.0,41.999341,-121.891226,2015-07-21T17:00:00Z
8051.0,38.4994,-122.1145,2015-07-22T14:24:00Z
26.0,38.9361,-121.1548,2015-07-22T18:17:00Z
75.0,38.776,-120.404,2015-07-23T14:00:00Z
116.0,41.29226,-121.172117,2015-07-23T16:40:00Z
77.0,40.856422,-121.101623,2015-07-23T17:30:00Z
167.0,33.383889,-116.868611,2015-07-24T16:18:00Z
25.0,32.682547,-116.51684,2015-07-24T12:43:00Z
2304.0,39.192088,-120.882313,2015-07-25T14:37:00Z
158.0,41.295667,-123.784067,2015-07-24T23:00:00Z
5702.0,37.279722,-119.50014,2015-07-25T14:30:00Z
114.0,38.052,-120.5577,2015-08-13T16:15:00Z
40.0,37.24523,-121.20324,2015-07-28T12:10:00Z
16.0,40.1093,-123.774,2015-07-28T17:19:00Z
6980.0,36.24,-118.54,2015-07-19T08:00:00Z
400.0,39.43963,-121.38794,2015-07-29T11:25:00Z
69636.0,38.8863538,-122.4762475,2015-07-29T15:29:00Z
75.0,40.509552,-122.199227,2015-07-29T16:30:00Z
212.0,40.415108,-122.439939,2015-07-29T17:55:00Z
204.0,37.823,-120.15644,2015-07-29T16:30:00Z
112.0,37.83618,-120.61691,2015-08-15T16:11:00Z
195.0,37.81629,-121.68113,2015-07-30T11:18:00Z
90.0,40.49865,-122.20109,2015-07-30T12:57:00Z
