StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,21.95,"34,716.07","1,701,988.03",4.57,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-03-27
CA,4.56,"7,215.46","64,180.52",0.17,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-03-27
CA,0.08,134.41,934.68,0.00,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-03-27
CA,17.28,"27,330.32","1,465,534.40",3.93,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-04-03
CA,9.49,"15,001.29","352,202.84",0.95,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-04-03
CA,2.86,"4,526.17","44,329.23",0.12,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-04-03
CA,0.58,914.67,"4,835.95",0.01,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-04-03
CA,12.88,"20,363.11","1,037,315.65",2.78,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-04-10
CA,9.67,"15,293.94","259,345.80",0.70,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-04-10
CA,2.86,"4,526.03","44,329.19",0.12,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-04-10
CA,0.58,914.67,"4,835.95",0.01,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-04-10
CA,18.79,"29,715.76","1,469,210.07",3.94,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-04-17
CA,11.27,"17,817.66","331,844.55",0.89,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-04-17
CA,2.86,"4,525.84","44,326.98",0.12,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-04-17
CA,0.58,914.67,"4,835.95",0.01,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-04-17
CA,18.79,"29,715.59","1,469,198.77",3.94,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-04-24
CA,11.27,"17,817.66","331,844.55",0.89,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-04-24
CA,2.86,"4,525.84","44,326.98",0.12,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-04-24
CA,0.58,914.67,"4,835.95",0.01,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-04-24
CA,18.79,"29,715.30","1,469,194.07",3.94,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-05-01
CA,11.27,"17,817.66","331,844.55",0.89,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-05-01
CA,2.86,"4,525.84","44,326.98",0.12,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-05-01
CA,0.58,914.67,"4,835.95",0.01,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-05-01
CA,18.79,"29,715.30","1,469,194.07",3.94,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-05-08
CA,11.27,"17,817.66","331,844.55",0.89,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-05-08
CA,3.37,"5,336.90","48,621.68",0.13,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-05-08
