Acres Burned,Latitude,Longitude,Incident Start
250.0,34.20955,-118.83967,2021-01-14T16:00:00Z
23.0,37.25086,-119.51982,2021-01-19T12:08:00Z
20.0,37.08931,-122.10509,2021-01-19T06:48:00Z
15.0,37.18259,-122.28823,2021-01-18T21:00:00Z
22.0,37.17749,-122.1756,2021-01-18T21:00:00Z
865.0,34.99432,-119.185309,2021-01-19T11:47:00Z
43.0,33.52871,-116.10723,2021-01-19T14:48:24Z
184.0,34.3585229,-118.5553174,2021-01-19T15:04:08Z
20.0,37.18381,-122.13372,2021-01-19T15:25:39Z
37.0,36.98767,-121.83627,2021-01-19T19:13:18Z
86.0,35.5819816117628,-117.5910734433329,2021-03-14T18:35:00Z
873.0,41.927772,-121.627082,2021-03-27T17:02:04Z
23.0,37.813464,-120.131236,2021-03-28T14:43:24Z
35.0,40.6758842,-122.0536419,2021-04-01T15:56:00Z
25.0,34.30277328465364,-118.70009500551254,2021-04-04T15:52:00Z
28.0,32.958961,-116.582369,2021-04-12T18:44:23Z
200.0,38.99914,-123.35838,2021-04-18T17:46:54Z
80.0,38.9743823,-121.5896697,2021-04-19T20:29:35Z
93.0,37.0953436,-121.143154,2021-04-24T14:50:00Z
650.0,34.449686,-118.616276,2021-04-28T23:04:57Z
65.0,38.88437128468346,-122.51771555326388,2021-04-29T12:44:00Z
160.0,38.223179,-120.856628,2021-04-29T23:18:41Z
32.0,38.773294,-121.034998,2021-05-01T21:02:48Z
5366.0,32.987532,-116.443391,2021-05-02T00:56:04Z
32.0,33.532246,-116.767011,2021-05-04T13:28:00Z
226.0,33.86972,-117.044072,2021-05-05T23:30:06Z
550.0,39.85479,-121.91936,2021-05-08T13:44:53Z
118.0,38.03106,-120.85258,2021-05-08T15:02:45Z
44.0,38.28328,-121.45965,2021-05-08T17:29:49Z
35.0,39.2510745,-121.361339,2021-05-12T20:48:43Z
442.0,34.454231,-117.663815,2021-05-12T22:46:39Z
97.0,37.560209,-120.419624,2021-05-14T14:00:00Z
29.0,40.971612,-120.094517,2021-05-14T13:03:00Z
1202.0,34.079046,-118.558938,2021-05-14T21:50:41Z
300.0,33.8948,-117.1116,2021-05-18T13:30:00Z
17.0,33.50994,-115.917099,2021-05-19T15:54:00Z
45.0,38.56101,-121.01365,2021-05-19T14:56:00Z
300.0,34.7591895,-118.5044868,2021-05-20T09:27:00Z
25.0,41.23106,-123.66003,2021-05-21T06:55:59Z
18.0,39.384319,-123.23205,2021-05-21T15:36:15Z
115.0,33.965596,-117.471517,2021-05-24T13:30:26Z
197.0,37.45646,-120.00392,2021-05-27T14:36:00Z
508.0,37.89346196853137,-120.83915871172879,2021-05-27T18:44:00Z
1118.0,35.932852,-120.854096,2021-05-30T15:10:29Z
25.0,36.86201725309289,-119.3484121800294,2021-05-31T16:24:20Z
45.0,37.1619216,-119.5166045,2021-05-31T19:12:45Z
28.0,33.631955,-117.089849,2021-06-01T13:06:00Z
