Acres Burned,Latitude,Longitude,Incident Start
37.0,40.774,-122.309,2017-10-31T11:22:00Z
0.0,39.51158,-121.55633,2017-02-07T14:00:00Z
45.0,40.48712,-121.85645,2017-04-03T16:00:00Z
380.0,41.16716,-120.58342,2017-04-03T16:00:00Z
15.0,33.56777,-116.08003,2017-04-13T02:30:00Z
4532.0,36.07228,-120.26561,2017-04-20T15:40:00Z
10.0,36.44141,-121.34695,2017-04-24T12:06:00Z
750.0,36.530836,-120.206592,2017-04-28T15:40:00Z
126.0,36.5355,-120.6585,2017-04-29T17:15:00Z
150.0,34.30104,-117.45646,2017-04-30T16:03:00Z
1350.0,34.00566,-117.30693,2017-04-30T15:23:00Z
12.0,33.7866,-117.5048,2017-04-30T19:43:00Z
19.0,35.71704,-118.30601,2017-05-01T12:44:00Z
130.0,35.78286,-120.22647,2017-05-02T14:32:00Z
12.0,35.6879,-120.3317,2017-05-07T16:41:00Z
400.0,36.45491,-120.2445,2017-05-10T15:27:00Z
31.0,35.60001,-118.4683,2017-05-12T05:05:00Z
1733.0,36.96655,-120.89261,2017-05-12T15:30:00Z
20.0,35.77082,-120.92482,2017-05-14T12:00:00Z
17.0,33.88466,-116.99229,2017-05-14T12:51:00Z
41.0,35.05076,-118.90004,2017-05-14T14:00:00Z
225.0,35.21177,-119.87525,2017-05-15T13:58:00Z
288.0,35.41283,-118.84466,2017-05-15T14:05:00Z
18.0,36.1727,-120.86682,2017-05-16T16:10:00Z
17.0,36.2771,-120.94328,2017-05-17T15:18:00Z
150.0,36.90967,-119.79315,2017-05-17T15:30:00Z
225.0,35.34541,-120.76464,2017-05-18T08:48:00Z
10000.0,36.12089,-120.37116,2017-05-18T13:11:00Z
20.0,35.983,-119.91508,2017-05-18T12:54:00Z
14.0,33.97155,-117.44148,2017-05-18T17:25:00Z
70.0,36.60736,-120.5828,2017-05-19T23:28:00Z
12.0,37.21812,-121.07761,1969-12-31T16:00:00Z
0.0,35.85253,-120.80411,2017-05-19T13:10:00Z
486.0,33.3906,-117.32348,2017-05-19T14:45:00Z
2056.0,32.65597,-116.80527,2017-05-20T23:19:00Z
17.0,35.556667,-120.474,2017-05-20T13:11:00Z
506.0,35.4605,-118.85896,2017-05-20T14:23:00Z
10.0,33.94673,-117.17773,2017-05-23T13:13:00Z
190.0,34.9465,-119.8036,2017-05-20T17:54:00Z
25.0,32.679,-116.29296,2017-05-24T15:30:00Z
21.0,36.35578,-120.99552,2017-05-22T04:50:00Z
35.0,33.96419,-117.20507,2017-05-21T16:12:00Z
1000.0,33.34988,-117.39818,2017-05-25T18:15:00Z
120.0,33.88287,-116.99651,2017-05-25T14:48:00Z
10.0,34.87128,-118.35296,2017-05-28T10:59:00Z
16.0,36.96642,-119.58292,2017-05-28T07:49:00Z
48.0,33.58577,-116.07429,2017-05-28T15:27:00Z
15.0,38.19906,-120.83484,2017-05-28T15:30:00Z
18.0,36.61332,-120.7109,2017-05-28T16:16:00Z
16.0,34.04412,-116.55326,2017-05-29T01:20:00Z
79.0,35.89423,-119.00334,2017-05-31T11:30:00Z
10.0,39.23205,-121.376,2017-05-29T15:31:00Z
68.0,38.33707,-121.11113,2017-06-01T15:38:00Z
26.0,33.94788,-116.59719,2017-06-01T16:12:00Z
16.0,35.188,-119.2877,2017-06-02T18:55:00Z
42.0,41.38247,-120.53443,2017-06-03T13:09:00Z
27.0,33.82165,-116.96079,2017-06-03T12:09:00Z
25.0,34.29931,-118.37539,2017-06-03T15:39:00Z
33.0,35.60633,-118.4642,2017-06-04T22:11:00Z
78.0,40.38944,-122.13088,2017-06-04T16:22:00Z
67.0,40.03392,-120.1064,2017-06-04T16:12:00Z
10.0,33.87107,-116.88097,2017-06-04T16:48:00Z
20.0,37.86549,-122.2102,2017-06-05T13:17:00Z
10.0,35.564124,-118.796513,2017-06-05T14:02:00Z
91.0,39.52499,-121.64897,2017-06-06T12:43:00Z
46.0,41.8721,-122.4571,2017-06-06T16:38:00Z
339.0,36.45809,-118.87676,2017-06-07T11:55:00Z
157.0,37.12759,-120.0193,2017-06-07T21:00:00Z
206.0,35.59804,-118.47939,2017-06-10T12:17:00Z
0.0,32.779139,-114.578415,2017-06-09T13:00:00Z
35.0,35.37351,-118.84134,2017-06-09T04:53:00Z
14.0,35.80375,-120.52508,2017-06-09T16:15:00Z
1417.0,37.0825,-119.8011,2017-06-10T13:19:00Z
186.0,36.704679,-120.405077,2017-06-11T10:46:00Z
22.0,38.68347,-122.2654,2017-06-13T10:18:00Z
32.0,35.902149,-120.983684,2017-06-11T18:12:00Z
450.0,36.616986,-120.369347,2017-06-11T17:15:00Z
76.0,36.8005,-119.35901,2017-06-11T22:45:00Z
38.0,37.85137,-120.45268,2017-06-11T18:49:00Z
33.0,33.584036,-116.972036,2017-06-13T12:00:00Z
50.0,33.23281,-117.29509,2017-06-13T14:31:00Z
135.0,35.8556,-118.74542,2017-06-13T17:00:00Z
20.0,33.52584,-116.85226,2017-06-13T17:21:00Z
150.0,35.6871,-120.3187,2017-06-14T11:44:00Z
63.0,37.36914,-120.0088,2017-06-15T07:30:00Z
105.0,33.950382,-116.884446,2017-06-15T11:36:00Z
28.0,33.79925,-117.11659,2017-06-15T15:51:00Z
134.0,39.69717,-121.75417,2017-06-16T09:27:00Z
32.0,35.90092,-120.93371,2017-06-16T15:49:00Z
850.0,34.55607,-118.60703,2017-06-17T13:55:00Z
60.0,40.32063,-122.83208,2017-06-18T07:15:00Z
10.0,33.90965,-116.9669,2017-06-18T12:28:00Z
153.0,33.98639,-117.21314,2017-06-18T15:10:00Z
25.0,37.02081,-119.95136,2017-06-18T14:04:00Z
1522.0,35.53456,-118.66733,2017-06-18T14:22:00Z
26.0,33.71025,-117.31924,2017-06-18T16:03:00Z
56.0,41.93006,-122.36545,2017-06-18T15:45:00Z
39.0,38.07481,-122.23004,2017-06-22T13:08:00Z
1503.0,34.2976,-116.826,2017-06-19T15:05:00Z
168.0,39.71101,-120.02325,2017-06-19T21:41:00Z
65.0,37.82934,-120.68992,2017-06-21T14:45:00Z
54.0,37.33454,-121.76323,2017-06-21T18:02:00Z
21.0,39.364,-121.4143,2017-06-22T09:49:00Z
111.0,39.38416,-121.5786,2017-06-22T11:10:00Z
357.0,36.27306,-120.65185,2017-06-23T16:00:00Z
42.0,40.10282,-122.27379,2017-06-24T11:15:00Z
0.0,36.51912,-119.50606,2017-06-23T22:32:00Z
760.0,34.37443,-118.49343,2017-06-25T12:47:00Z
36.0,33.1683,-116.77342,2017-06-25T12:09:00Z
6309.0,33.530045,-116.594422,2017-06-26T15:10:00Z
19.0,40.703775,-122.645079,2017-06-26T12:30:00Z
1626.0,35.4025,-120.4992,2017-06-26T15:27:00Z
35.0,38.45822,-120.92162,2017-06-27T07:39:00Z
38.0,37.9775,-122.65749,2017-06-27T10:39:00Z
25.0,32.7789,-116.8516,2017-06-27T09:38:00Z
670.0,34.14575,-117.17813,2017-06-27T15:22:00Z
28.0,41.93323,-124.19629,2017-06-26T21:30:00Z
85.0,37.3344,-121.71752,2017-06-29T13:56:00Z
15.0,35.947,-120.87492,2017-06-28T09:30:00Z
562.0,41.85763,-121.29581,2017-06-28T13:50:00Z
558.0,37.3762,-119.9646,2017-06-28T15:49:00Z
0.0,33.43513,-117.58252,2017-06-28T17:56:00Z
1200.0,35.38298,-118.80123,2017-06-30T13:49:00Z
42.0,35.96275,-121.08753,2017-06-29T20:44:00Z
55.0,34.03941,-118.58624,2017-06-29T15:09:00Z
41.0,34.10446,-118.70294,2017-06-29T15:45:00Z
128.0,40.69554,-122.0122,2017-07-01T00:48:00Z
10.0,39.08382,-121.06656,2017-07-02T12:41:00Z
11.0,33.913089,-117.096233,2017-07-02T13:04:00Z
14.0,39.8629,-121.6268,2017-07-02T13:43:00Z
225.0,37.4591,-119.921,2017-07-02T13:36:00Z
1562.0,36.269125,-120.620791,2017-07-02T22:28:00Z
30.0,33.96896,-117.25411,2017-07-03T19:31:00Z
10.0,33.91806,-116.99321,2017-07-03T13:34:00Z
50.0,33.87739,-117.16215,2017-07-03T15:14:00Z
34.0,36.85596,-121.30983,2017-07-04T13:21:00Z
13.0,34.304722,-117.3125,2017-07-04T13:15:00Z
57.0,36.81476,-119.51592,2017-07-04T13:21:00Z
35.0,33.99316,-117.48405,2017-07-04T15:20:00Z
18.0,39.53944,-121.54722,2017-07-04T15:45:00Z
50.0,34.20599,-118.98603,2017-07-04T14:45:00Z
0.0,41.86609,-122.73031,2017-07-04T15:21:00Z
205.0,33.85323,-117.48195,2017-07-04T16:55:00Z
21.0,36.10858,-118.81979,2017-07-05T08:24:00Z
496.0,41.3975,-122.8428,2017-07-05T11:05:00Z
74.0,38.7803,-120.97111,2017-07-08T16:38:00Z
62.0,37.64898,-120.4925,2017-07-08T11:00:00Z
91.0,36.95104,-119.65621,2017-07-05T15:40:00Z
22.0,38.20176,-120.67848,2017-07-05T16:56:00Z
1700.0,38.49521,-122.0251,2017-07-06T12:41:00Z
1626.0,35.59904,-119.08312,2017-07-06T12:29:00Z
28687.0,35.0179,-120.3223,2017-07-06T15:44:00Z
0.0,40.6361,-120.9643,2017-07-06T13:00:00Z
2940.0,35.77896,-118.89627,2017-07-07T09:18:00Z
0.0,41.841,-123.474,2017-06-25T17:00:00Z
90.0,37.09773,-120.02027,2017-07-07T10:00:00Z
33.0,33.763304,-117.314994,2017-07-07T12:56:00Z
6033.0,39.45352,-121.41222,2017-07-07T14:52:00Z
74.0,34.07612,-117.06765,2017-07-07T15:45:00Z
58.0,35.346,-120.62825,2017-07-07T16:23:00Z
36.0,37.65963,-120.34802,2017-07-07T15:50:00Z
231.0,37.87808,-121.78677,2017-07-08T02:20:00Z
10.0,40.48972,-122.38619,2017-07-15T18:10:00Z
18430.0,34.55096,-119.9494,2017-07-08T13:43:00Z
410.0,41.72163,-121.30451,2017-07-13T15:23:00Z
27276.0,41.59,-123.501,2017-07-26T18:00:00Z
340.0,35.42433,-120.47322,2017-07-09T13:49:00Z
370.0,38.02929,-122.25544,2017-07-08T15:26:00Z
50.0,39.06308,-121.303,2017-07-08T16:47:00Z
13.0,38.67474,-121.06088,2017-07-12T13:51:00Z
1816.0,35.86949,-120.57894,2017-07-08T18:30:00Z
29.0,40.29118,-122.42606,2017-07-08T18:58:00Z
48660.0,35.93273,-120.20014,2017-07-09T15:10:00Z
166.0,39.37192,-121.53865,2017-07-10T14:45:00Z
747.0,39.439722,-120.027222,2017-07-10T13:02:00Z
70.0,37.25014,-121.68562,2017-07-10T15:54:00Z
10.0,39.50475,-121.33785,2017-07-12T13:55:00Z
50.0,34.72379,-120.13249,2017-07-17T14:55:00Z
460.0,34.09773,-117.10567,2017-07-14T14:23:00Z
400.0,32.84796,-116.85396,2017-07-11T13:45:00Z
83733.0,40.07045,-120.14013,2017-07-11T14:15:00Z
101.0,37.39801,-121.8179,2017-07-11T16:51:00Z
59.0,38.18303,-120.85322,2017-07-12T13:10:00Z
32.0,33.62613,-117.07975,2017-07-13T10:28:00Z
46.0,34.149,-117.189,2017-07-12T15:29:00Z
35.0,38.08055,-122.77846,2017-07-12T16:15:00Z
10.0,33.77896,-117.24091,2017-07-13T14:14:00Z
40.0,36.66684,-121.74826,2017-07-16T11:17:00Z
900.0,39.30125,-123.28825,2017-07-16T14:51:00Z
81826.0,37.61757,-120.21321,2017-07-16T15:56:00Z
20.0,39.13207,-123.10227,2017-07-17T12:37:00Z
1649.0,35.95911,-120.55579,2017-07-17T13:15:00Z
70.0,39.01224,-122.20127,2017-07-17T13:17:00Z
117.0,38.29113,-120.62177,2017-07-17T12:55:00Z
15.0,41.45589,-120.56933,2017-07-17T13:38:00Z
40.0,38.86056,-122.62382,2017-07-17T14:44:00Z
59.0,36.18815,-118.78928,2017-07-17T15:32:00Z
2312.0,36.05187,-120.05404,2017-08-24T18:13:00Z
19.0,40.39799,-123.57562,2017-08-01T10:23:00Z
1083.0,34.94373,-119.44751,2017-07-18T11:45:00Z
180.0,40.47106,-122.43608,2017-07-18T12:39:00Z
72.0,33.75526,-117.25075,2017-07-18T15:34:00Z
58.0,36.64404,-118.99944,2017-07-18T15:50:00Z
0.0,39.75425,-122.17657,2017-07-19T17:30:00Z
2289.0,36.0226,-118.94252,2017-07-30T17:43:00Z
0.0,41.702,-123.508,2017-07-25T12:45:00Z
124.0,37.90014,-120.36005,2017-07-30T16:28:00Z
135.0,34.792882,-118.851943,2017-07-28T15:25:00Z
63.0,33.81976,-117.18552,2017-07-28T18:11:00Z
19.0,37.81827,-120.65764,2017-07-18T22:39:00Z
103.0,39.76243,-121.74121,2017-07-19T16:02:00Z
4310.0,39.9034,-120.9761,2017-07-29T18:55:00Z
675.0,37.905545,-120.408135,2017-07-29T13:50:00Z
47.0,35.06472,-120.5634,2017-07-20T14:43:00Z
10.0,39.36902,-120.97586,2017-07-21T16:50:00Z
140.0,38.559707,-120.70013,2017-07-26T13:58:00Z
416.0,36.22265,-119.06598,2017-07-20T19:16:00Z
1268.0,38.5181,-121.104,2017-07-26T14:45:00Z
51.0,37.44485,-121.84108,2017-07-26T23:19:00Z
319.0,41.478,-123.506,2017-07-19T14:00:00Z
85.0,34.20152,-117.14466,2017-07-22T13:35:00Z
255.0,33.34659,-116.66107,2017-07-22T15:00:00Z
20.0,34.139,-117.199,2017-07-22T15:49:00Z
13.0,38.69775,-120.73757,2017-07-25T14:13:00Z
150.0,35.7751,-120.23656,2017-07-24T14:43:00Z
39.0,39.06522,-121.3519,2017-07-24T14:56:00Z
78.0,36.96607,-121.55552,2017-07-23T16:07:00Z
170.0,34.41204,-117.03031,2017-07-23T15:53:00Z
57.0,40.1583,-122.3209,2017-07-28T13:24:00Z
15.0,39.16826,-120.95498,2017-07-27T14:49:00Z
20.0,37.65986,-120.31157,2017-08-01T16:33:00Z
17.0,40.69259,-122.17384,2017-07-29T17:29:00Z
155.0,41.9808,-121.9741,2017-07-29T16:33:00Z
236.0,38.538332,-121.039267,2017-07-30T01:45:00Z
1350.0,35.543,-118.654,2017-07-30T16:17:00Z
11.0,38.70289,-122.90217,2017-07-31T23:17:00Z
100.0,34.19076,-117.26969,2017-07-31T14:44:00Z
200.0,33.689092,-117.396404,2017-07-31T14:22:00Z
32.0,40.79902,-123.39253,2017-08-02T08:30:00Z
70.0,35.4403,-120.2913,2017-08-02T10:33:00Z
460.0,35.40357,-120.28037,2017-08-02T10:15:00Z
0.0,41.338,-120.304,2017-07-23T00:00:00Z
85.0,40.11794,-123.76099,2017-08-03T11:58:00Z
325.0,34.08492,-117.03826,2017-08-03T15:35:00Z
10.0,34.23925,-117.85182,2017-08-03T16:21:00Z
30.0,40.27582,-123.64281,2017-08-03T16:41:00Z
62.0,38.94599,-122.81135,2017-08-08T16:40:00Z
