Acres Burned,Latitude,Longitude,Incident Start
407.0,36.602575,-118.01651,2013-02-24T08:16:00Z
30.0,34.288877,-116.941311,2013-04-20T17:30:00Z
274.0,37.116295,-119.635004,2013-04-30T12:59:00Z
6896.0,40.190062,-121.595555,2013-05-01T09:12:00Z
75.0,38.441792,-122.350844,2013-04-30T23:44:00Z
125.0,38.638828,-122.655616,2013-05-01T02:01:00Z
2956.0,34.288877,-116.941311,2013-05-01T12:38:00Z
354.0,37.160346,-120.937494,2013-05-03T11:42:00Z
217.0,39.514139,-122.560862,2013-05-01T19:00:00Z
75.0,34.1834,-117.4408,2013-05-13T13:30:00Z
650.0,33.894055,-116.855019,2013-05-04T11:43:00Z
4346.0,34.7861,-118.9411,2013-05-15T12:50:00Z
40.0,33.655638,-116.161201,2013-05-16T13:48:00Z
712.0,34.49149,-118.610044,2013-05-17T13:23:00Z
91.0,37.1927,-119.7917,2013-05-19T15:07:00Z
35.0,35.49864,-120.91375,2013-05-20T15:45:00Z
25.0,33.96201,-116.907213,2013-05-20T13:47:00Z
90.0,33.9582,-116.6534,2013-05-21T14:16:00Z
303.0,38.04993,-120.90325,2013-05-30T11:20:00Z
100.0,32.564465,-116.900368,2013-05-22T16:14:00Z
2650.0,33.12111,-116.52579,2013-05-23T12:20:00Z
50.0,35.5123,-120.6368,2013-05-25T17:35:00Z
124.0,33.963591,-117.187934,2013-05-25T14:59:00Z
2500.0,33.04458,-116.5209,2013-05-26T12:04:00Z
1984.0,34.55048,-119.82429,2013-05-27T14:45:00Z
149.0,34.419284,-118.58688,2013-05-28T11:30:00Z
170.0,34.611824,-120.074655,2013-05-28T15:24:00Z
500.0,35.15832,-120.05131,2013-06-01T17:27:00Z
100.0,37.91529,-120.33313,2013-06-02T13:30:00Z
298.0,39.434183,-121.576804,2013-06-03T13:49:00Z
0.0,33.99647,-116.84137,2013-06-09T12:30:00Z
28.0,38.4229,-122.0437,2013-06-10T00:46:00Z
124.0,37.03776,-121.006939,2013-06-04T15:42:00Z
30.0,38.99233,-122.703193,2013-06-05T16:05:00Z
30274.0,34.585595,-118.423176,2013-05-30T15:28:00Z
240.0,37.775057,-121.737213,2013-06-08T10:16:00Z
42.0,33.96936,-117.1265,2013-06-08T15:37:00Z
60.0,39.9845,-121.5747,2013-06-10T00:46:00Z
96.0,38.27783,-120.966016,2013-06-12T16:43:00Z
75.0,37.169379,-119.75636,2013-06-12T16:40:00Z
108.0,36.772425,-119.628389,2013-06-13T11:54:00Z
1708.0,37.58202,-119.91071,2013-06-16T14:12:00Z
237.0,38.729297,-121.380862,2013-06-13T11:28:00Z
35.0,36.763367,-119.558244,2013-06-13T15:54:00Z
40.0,34.001745,-117.302057,2013-06-14T13:47:00Z
480.0,37.015575,-119.78106,2013-06-16T18:17:00Z
124.0,38.08744,-122.13802,2013-06-18T15:18:00Z
46.0,37.03087,-119.463757,2013-06-17T14:41:00Z
150.0,36.7218,-119.2248,2013-06-25T13:36:00Z
25.0,38.98058,-122.81796,2013-06-20T14:29:00Z
534.0,34.071556,-117.048397,2013-06-28T14:30:00Z
274.0,39.90465,-121.74367,2013-07-01T15:41:00Z
105.0,36.1531,-120.8973,2013-06-29T14:09:00Z
492.0,37.96866,-121.91453,2013-07-01T13:19:00Z
754.0,39.9845,-121.5747,2013-07-02T12:00:00Z
502.0,41.2415,-121.035,2013-07-03T22:56:00Z
200.0,40.012398,-122.079871,2013-07-04T07:30:00Z
50.0,37.7393,-121.5869,2013-07-04T10:00:00Z
38.0,37.74241,-121.86216,2013-07-06T13:09:00Z
7055.0,32.95435,-116.47381,2013-07-06T12:55:00Z
85.0,35.62743,-120.83417,2013-07-07T13:16:00Z
73.0,39.206,-121.31634,2013-07-08T09:59:00Z
43.0,40.373,-122.7338,2013-07-09T11:59:00Z
572.0,38.774,-120.298,2013-07-08T12:45:00Z
50.0,37.1438,-121.7804,2013-07-12T13:09:00Z
150.0,37.436,-121.1955,2013-07-12T15:35:00Z
27531.0,33.7095,-116.72885,2013-07-15T13:43:00Z
0.0,41.333,-123.376,2013-08-03T08:00:00Z
75.0,34.316,-117.352,2013-07-25T15:09:00Z
25.0,32.612773,-116.707335,2013-07-28T09:43:00Z
22992.0,37.279,-119.318,2013-07-22T22:15:00Z
14754.0,41.32,-123.176,2013-07-31T22:00:00Z
92.0,39.6612,-121.50354,2013-08-01T16:01:00Z
150.0,33.990128,-117.164997,2013-07-16T17:48:00Z
60.0,33.91027,-116.99895,2013-08-04T16:29:00Z
612.0,34.90327,-118.93388,2013-07-23T09:15:00Z
45.0,38.980846,-123.067671,2013-07-23T13:29:00Z
500.0,34.882,-118.9194,2013-07-19T12:00:00Z
