,Map Date,Drought Level,Population Current,Population Current %,Area Current,Area Current %,Area Miles
70,2001-04-24,D2  ,"44,326.98",0.12,"4,525.84",2.86,"158,147.87"
71,2001-04-24,D3  ,"4,835.95",0.01,914.67,0.58,"158,147.87"
72,2001-05-01,D0  ,"1,469,194.07",3.94,"29,715.30",18.79,"158,147.87"
73,2001-05-01,D1  ,"331,844.55",0.89,"17,817.66",11.27,"158,147.87"
74,2001-05-01,D2  ,"44,326.98",0.12,"4,525.84",2.86,"158,147.87"
75,2001-05-01,D3  ,"4,835.95",0.01,914.67,0.58,"158,147.87"
76,2001-05-08,D0  ,"1,469,194.07",3.94,"29,715.30",18.79,"158,147.87"
77,2001-05-08,D1  ,"331,844.55",0.89,"17,817.66",11.27,"158,147.87"
78,2001-05-08,D2  ,"48,621.68",0.13,"5,336.90",3.37,"158,147.87"
79,2001-05-08,D3  ,541.26,0.0,103.60,0.07,"158,147.87"
80,2001-05-15,D0  ,"2,296,204.88",6.16,"36,561.86",23.12,"158,147.87"
81,2001-05-15,D1  ,"459,640.83",1.23,"21,813.89",13.79,"158,147.87"
82,2001-05-15,D2  ,"48,605.84",0.13,"5,357.64",3.39,"158,147.87"
83,2001-05-15,D3  ,557.03,0.0,82.84,0.05,"158,147.87"
84,2001-05-22,D0  ,"2,296,203.33",6.16,"36,561.84",23.12,"158,147.87"
85,2001-05-22,D1  ,"459,642.37",1.23,"21,813.90",13.79,"158,147.87"
86,2001-05-22,D2  ,"48,605.84",0.13,"5,357.64",3.39,"158,147.87"
87,2001-05-22,D3  ,557.03,0.0,82.84,0.05,"158,147.87"
88,2001-05-29,D0  ,"2,296,204.29",6.16,"36,561.79",23.12,"158,147.87"
89,2001-05-29,D1  ,"439,734.54",1.18,"17,607.98",11.13,"158,147.87"
90,2001-05-29,D2  ,"68,663.61",0.18,"9,586.10",6.06,"158,147.87"
91,2001-05-29,D3  ,406.13,0.0,60.34,0.04,"158,147.87"
92,2001-06-05,D0  ,"6,101,905.94",16.38,"43,905.64",27.76,"158,147.87"
93,2001-06-05,D1  ,"651,143.10",1.75,"22,378.07",14.15,"158,147.87"
94,2001-06-05,D2  ,"91,504.91",0.25,"12,945.76",8.19,"158,147.87"
95,2001-06-05,D3  ,557.03,0.0,82.84,0.05,"158,147.87"
96,2001-06-12,D0  ,"5,947,224.58",15.96,"40,818.29",25.81,"158,147.87"
97,2001-06-12,D1  ,"741,665.63",1.99,"24,373.75",15.41,"158,147.87"
98,2001-06-12,D2  ,"155,712.30",0.42,"14,038.15",8.88,"158,147.87"
99,2001-06-12,D3  ,557.03,0.0,82.84,0.05,"158,147.87"
100,2001-06-19,D0  ,"9,516,642.12",25.55,"43,572.68",27.55,"158,147.87"
101,2001-06-19,D1  ,"541,919.10",1.45,"15,966.09",10.1,"158,147.87"
102,2001-06-19,D2  ,"458,029.89",1.23,"24,777.04",15.67,"158,147.87"
103,2001-06-19,D3  ,"1,986.96",0.01,316.94,0.2,"158,147.87"
104,2001-06-26,D0  ,"9,252,808.10",24.84,"41,580.27",26.29,"158,147.87"
105,2001-06-26,D1  ,"725,828.53",1.95,"16,306.52",10.31,"158,147.87"
106,2001-06-26,D2  ,"519,126.55",1.39,"25,857.12",16.35,"158,147.87"
107,2001-06-26,D3  ,"21,879.69",0.06,"1,473.07",0.93,"158,147.87"
108,2001-07-03,D0  ,"8,525,854.53",22.89,"48,050.27",30.38,"158,147.87"
109,2001-07-03,D1  ,"686,736.71",1.84,"14,413.80",9.11,"158,147.87"
110,2001-07-03,D2  ,"462,661.27",1.24,"21,754.92",13.76,"158,147.87"
111,2001-07-03,D3  ,"117,436.80",0.32,"7,467.99",4.72,"158,147.87"
