,Map Date,Drought Level,Population Current,Population Current %,Area Current,Area Current %,Area Miles
791,2005-06-07,D1  ,221.86,0.0,92.64,0.06,"158,147.87"
792,2005-06-14,D0  ,"8,415.52",0.02,"2,308.46",1.46,"158,147.87"
793,2005-06-14,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
794,2005-06-21,D0  ,"6,854.71",0.02,"1,943.78",1.23,"158,147.87"
795,2005-06-21,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
796,2005-06-28,D0  ,"4,869.12",0.01,"1,469.62",0.93,"158,147.87"
797,2005-06-28,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
798,2005-07-05,D0  ,"4,869.12",0.01,"1,469.62",0.93,"158,147.87"
799,2005-07-05,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
800,2005-07-12,D0  ,"4,869.12",0.01,"1,469.62",0.93,"158,147.87"
801,2005-07-12,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
802,2005-07-19,D0  ,"4,869.12",0.01,"1,469.62",0.93,"158,147.87"
803,2005-07-19,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
804,2005-07-26,D0  ,"4,869.12",0.01,"1,469.62",0.93,"158,147.87"
805,2005-07-26,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
806,2005-08-02,D0  ,"6,478.11",0.02,"1,545.41",0.98,"158,147.87"
807,2005-08-02,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
808,2005-08-09,D0  ,"4,822.09",0.01,"1,441.70",0.91,"158,147.87"
809,2005-08-09,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
810,2005-08-16,D0  ,"4,725.95",0.01,"1,427.89",0.9,"158,147.87"
811,2005-08-16,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
812,2005-08-23,D0  ,"6,830.02",0.02,"1,725.35",1.09,"158,147.87"
813,2005-08-23,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
814,2005-08-30,D0  ,"6,918.17",0.02,"1,739.91",1.1,"158,147.87"
815,2005-08-30,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
816,2005-09-06,D0  ,"4,516.27",0.01,"1,170.74",0.74,"158,147.87"
817,2005-09-06,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
818,2005-09-13,D0  ,"4,516.27",0.01,"1,170.74",0.74,"158,147.87"
819,2005-09-13,D1  ,221.76,0.0,92.59,0.06,"158,147.87"
820,2005-09-20,D0  ,"3,069.77",0.01,849.23,0.54,"158,147.87"
821,2005-09-20,D1  ,187.52,0.0,81.05,0.05,"158,147.87"
822,2005-09-27,D0  ,"2,211.88",0.01,661.79,0.42,"158,147.87"
823,2005-10-04,D0  ,"2,211.88",0.01,661.79,0.42,"158,147.87"
824,2005-10-11,D0  ,"2,211.88",0.01,661.79,0.42,"158,147.87"
825,2005-10-18,D0  ,"2,211.88",0.01,661.79,0.42,"158,147.87"
826,2005-10-25,D0  ,"2,211.88",0.01,661.79,0.42,"158,147.87"
827,2005-11-01,D0  ,"2,211.88",0.01,661.79,0.42,"158,147.87"
828,2005-11-08,D0  ,"1,343.34",0.0,539.70,0.34,"158,147.87"
829,2005-11-15,D0  ,"1,330.98",0.0,537.75,0.34,"158,147.87"
830,2005-11-22,D0  ,"1,330.98",0.0,537.75,0.34,"158,147.87"
831,2005-11-29,D0  ,"9,461,081.13",25.4,"39,175.29",24.77,"158,147.87"
832,2005-12-06,D0  ,"2,028,371.13",5.44,"15,765.40",9.97,"158,147.87"
833,2005-12-13,D0  ,"2,028,371.13",5.44,"15,765.40",9.97,"158,147.87"
834,2005-12-20,D0  ,"1,414,722.28",3.8,"9,974.05",6.31,"158,147.87"
835,2005-12-27,D0  ,"1,413,939.09",3.8,"9,634.34",6.09,"158,147.87"
836,2006-01-03,D0  ,"376,475.47",1.01,"2,654.31",1.68,"158,147.87"
837,2006-01-10,D0  ,"623,196.61",1.67,"5,374.50",3.4,"158,147.87"
838,2006-01-17,D0  ,"530,732.97",1.42,"4,610.64",2.92,"158,147.87"
839,2006-01-24,D0  ,"530,732.90",1.42,"4,610.64",2.92,"158,147.87"
840,2006-01-31,D0  ,"530,732.93",1.42,"4,610.64",2.92,"158,147.87"
841,2006-02-07,D0  ,"13,719,683.07",36.83,"21,070.66",13.32,"158,147.87"
842,2006-02-14,D0  ,"13,733,767.47",36.87,"21,209.88",13.41,"158,147.87"
843,2006-02-21,D0  ,"14,577,518.29",39.13,"24,977.38",15.79,"158,147.87"
844,2006-02-28,D0  ,"11,478,455.15",30.81,"37,419.26",23.66,"158,147.87"
845,2006-02-28,D1  ,"77,311.61",0.21,764.21,0.48,"158,147.87"
846,2006-03-07,D0  ,"7,208,895.43",19.35,"33,686.22",21.3,"158,147.87"
847,2006-03-07,D1  ,"82,462.49",0.22,815.13,0.52,"158,147.87"
848,2006-03-14,D0  ,"3,886,357.25",10.43,"25,144.21",15.9,"158,147.87"
849,2006-03-14,D1  ,"82,462.52",0.22,815.13,0.52,"158,147.87"
850,2006-03-21,D0  ,"3,880,248.29",10.42,"25,083.82",15.86,"158,147.87"
851,2006-03-21,D1  ,"88,571.94",0.24,875.52,0.55,"158,147.87"
852,2006-03-28,D0  ,"2,336,865.96",6.27,"12,378.69",7.83,"158,147.87"
853,2006-03-28,D1  ,"88,571.95",0.24,875.52,0.55,"158,147.87"
854,2006-04-04,D0  ,"1,957,873.33",5.26,"11,651.53",7.37,"158,147.87"
855,2006-04-04,D1  ,"25,549.63",0.07,252.55,0.16,"158,147.87"
856,2006-04-11,D0  ,"1,817,117.74",4.88,"10,952.04",6.93,"158,147.87"
857,2006-04-11,D1  ,"25,549.64",0.07,252.55,0.16,"158,147.87"
858,2006-04-18,D0  ,"1,817,117.20",4.88,"10,952.04",6.93,"158,147.87"
859,2006-04-18,D1  ,"25,549.67",0.07,252.55,0.16,"158,147.87"
860,2006-04-25,D0  ,"1,817,116.97",4.88,"10,952.04",6.93,"158,147.87"
861,2006-04-25,D1  ,"25,549.68",0.07,252.55,0.16,"158,147.87"
862,2006-05-02,D0  ,"2,148,806.26",5.77,"12,076.21",7.64,"158,147.87"
863,2006-05-02,D1  ,"1,091.19",0.0,10.79,0.01,"158,147.87"
864,2006-05-09,D0  ,"2,149,896.02",5.77,"12,086.98",7.64,"158,147.87"
865,2006-05-16,D0  ,"2,144,926.71",5.76,"11,981.80",7.58,"158,147.87"
866,2006-05-16,D1  ,"4,970.27",0.01,105.19,0.07,"158,147.87"
867,2006-05-23,D0  ,"2,144,926.58",5.76,"11,981.80",7.58,"158,147.87"
868,2006-05-23,D1  ,"4,970.27",0.01,105.19,0.07,"158,147.87"
869,2006-05-30,D0  ,"2,088,427.82",5.61,"11,812.76",7.47,"158,147.87"
870,2006-05-30,D1  ,"4,970.27",0.01,105.19,0.07,"158,147.87"
871,2006-06-06,D0  ,"2,088,427.75",5.61,"11,812.76",7.47,"158,147.87"
872,2006-06-06,D1  ,"4,970.26",0.01,105.19,0.07,"158,147.87"
873,2006-06-13,D0  ,"2,088,427.16",5.61,"11,812.76",7.47,"158,147.87"
874,2006-06-13,D1  ,"4,970.27",0.01,105.19,0.07,"158,147.87"
875,2006-06-20,D0  ,"2,088,426.97",5.61,"11,812.76",7.47,"158,147.87"
876,2006-06-20,D1  ,"4,970.28",0.01,105.19,0.07,"158,147.87"
877,2006-06-27,D0  ,"2,432,046.46",6.53,"12,921.07",8.17,"158,147.87"
878,2006-06-27,D1  ,"4,970.26",0.01,105.19,0.07,"158,147.87"
879,2006-07-04,D0  ,"2,453,110.31",6.58,"13,011.74",8.23,"158,147.87"
880,2006-07-04,D1  ,"4,911.44",0.01,110.92,0.07,"158,147.87"
881,2006-07-11,D0  ,"2,211,135.94",5.94,"12,459.26",7.88,"158,147.87"
882,2006-07-11,D1  ,"9,925.66",0.03,190.56,0.12,"158,147.87"
883,2006-07-18,D0  ,"2,176,217.50",5.84,"12,027.00",7.6,"158,147.87"
884,2006-07-18,D1  ,"9,925.68",0.03,190.56,0.12,"158,147.87"
885,2006-07-25,D0  ,"2,176,217.35",5.84,"12,027.00",7.6,"158,147.87"
886,2006-07-25,D1  ,"9,925.68",0.03,190.56,0.12,"158,147.87"
887,2006-08-01,D0  ,"2,176,217.25",5.84,"12,027.00",7.6,"158,147.87"
888,2006-08-01,D1  ,"9,925.70",0.03,190.56,0.12,"158,147.87"
889,2006-08-08,D0  ,"2,176,217.09",5.84,"12,027.00",7.6,"158,147.87"
890,2006-08-08,D1  ,"9,925.70",0.03,190.56,0.12,"158,147.87"
891,2006-08-15,D0  ,"2,173,013.29",5.83,"11,971.62",7.57,"158,147.87"
892,2006-08-15,D1  ,"13,128.90",0.04,245.95,0.16,"158,147.87"
893,2006-08-22,D0  ,"1,804,026.15",4.84,"10,916.71",6.9,"158,147.87"
894,2006-08-22,D1  ,"4,634.86",0.01,100.80,0.06,"158,147.87"
895,2006-08-29,D0  ,"1,700,958.48",4.57,"10,615.55",6.71,"158,147.87"
896,2006-08-29,D1  ,"3,357.01",0.01,84.32,0.05,"158,147.87"
897,2006-09-05,D0  ,"2,961,991.82",7.95,"19,915.72",12.59,"158,147.87"
898,2006-09-05,D1  ,"323,672.61",0.87,"3,930.79",2.49,"158,147.87"
899,2006-09-05,D2  ,"7,975.98",0.02,206.05,0.13,"158,147.87"
900,2006-09-12,D0  ,"2,873,999.78",7.71,"19,637.62",12.42,"158,147.87"
901,2006-09-12,D1  ,"323,749.48",0.87,"3,932.78",2.49,"158,147.87"
902,2006-09-12,D2  ,"7,898.89",0.02,204.06,0.13,"158,147.87"
903,2006-09-19,D0  ,"3,075,085.29",8.25,"22,479.14",14.21,"158,147.87"
904,2006-09-19,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
905,2006-09-26,D0  ,"3,067,331.27",8.23,"22,472.36",14.21,"158,147.87"
906,2006-09-26,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
907,2006-10-03,D0  ,"2,990,653.58",8.03,"22,186.07",14.03,"158,147.87"
908,2006-10-03,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
909,2006-10-10,D0  ,"2,990,653.62",8.03,"22,186.07",14.03,"158,147.87"
910,2006-10-10,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
911,2006-10-17,D0  ,"3,526,439.75",9.47,"23,099.16",14.61,"158,147.87"
912,2006-10-17,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
913,2006-10-24,D0  ,"3,526,439.76",9.47,"23,099.16",14.61,"158,147.87"
914,2006-10-24,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
915,2006-10-31,D0  ,"3,526,439.76",9.47,"23,099.16",14.61,"158,147.87"
916,2006-10-31,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
917,2006-11-07,D0  ,"3,526,439.77",9.47,"23,099.16",14.61,"158,147.87"
918,2006-11-07,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
919,2006-11-14,D0  ,"3,526,440.22",9.47,"23,099.16",14.61,"158,147.87"
920,2006-11-14,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
921,2006-11-21,D0  ,"4,556,155.45",12.23,"34,073.14",21.55,"158,147.87"
922,2006-11-21,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
923,2006-11-28,D0  ,"4,520,371.06",12.13,"33,943.28",21.46,"158,147.87"
924,2006-11-28,D1  ,"130,562.98",0.35,"1,295.33",0.82,"158,147.87"
925,2006-12-05,D0  ,"24,653,997.62",66.18,"87,263.77",55.18,"158,147.87"
926,2006-12-05,D1  ,"129,231.13",0.35,"1,255.13",0.79,"158,147.87"
927,2006-12-12,D0  ,"23,895,862.41",64.14,"78,146.00",49.41,"158,147.87"
928,2006-12-12,D1  ,"129,231.13",0.35,"1,255.13",0.79,"158,147.87"
929,2006-12-19,D0  ,"22,558,960.86",60.55,"75,916.82",48.0,"158,147.87"
930,2006-12-19,D1  ,"2,350,283.14",6.31,"18,411.70",11.64,"158,147.87"
931,2006-12-26,D0  ,"22,558,960.85",60.55,"75,916.82",48.0,"158,147.87"
932,2006-12-26,D1  ,"2,350,283.14",6.31,"18,411.70",11.64,"158,147.87"
933,2007-01-02,D0  ,"4,142,239.43",11.12,"51,396.78",32.5,"158,147.87"
934,2007-01-02,D1  ,"20,718,270.31",55.61,"42,335.73",26.77,"158,147.87"
935,2007-01-09,D0  ,"4,597,250.66",12.34,"59,918.75",37.89,"158,147.87"
936,2007-01-09,D1  ,"20,281,279.09",54.44,"38,780.98",24.52,"158,147.87"
937,2007-01-09,D2  ,"473,834.05",1.27,"4,149.53",2.62,"158,147.87"
938,2007-01-16,D0  ,"4,597,250.64",12.34,"59,918.75",37.89,"158,147.87"
939,2007-01-16,D1  ,"20,281,279.09",54.44,"38,780.98",24.52,"158,147.87"
940,2007-01-16,D2  ,"473,834.05",1.27,"4,149.53",2.62,"158,147.87"
941,2007-01-23,D0  ,"13,706,012.80",36.79,"66,913.45",42.31,"158,147.87"
942,2007-01-23,D1  ,"19,554,123.68",52.49,"46,254.99",29.25,"158,147.87"
943,2007-01-23,D2  ,"3,456,733.78",9.28,"28,029.04",17.72,"158,147.87"
944,2007-01-30,D0  ,"11,816,303.78",31.72,"45,721.74",28.91,"158,147.87"
945,2007-01-30,D1  ,"18,967,351.03",50.91,"60,720.36",38.39,"158,147.87"
946,2007-01-30,D2  ,"5,944,854.25",15.96,"36,171.04",22.87,"158,147.87"
947,2007-02-06,D0  ,"11,818,312.51",31.72,"46,005.71",29.09,"158,147.87"
948,2007-02-06,D1  ,"19,100,291.34",51.27,"58,578.09",37.04,"158,147.87"
949,2007-02-06,D2  ,"5,811,913.93",15.6,"38,313.32",24.23,"158,147.87"
950,2007-02-13,D0  ,"5,804,266.61",15.58,"32,592.89",20.61,"158,147.87"
951,2007-02-13,D1  ,"6,289,392.64",16.88,"39,081.51",24.71,"158,147.87"
952,2007-02-13,D2  ,"17,732,885.06",47.6,"47,014.22",29.73,"158,147.87"
953,2007-02-20,D0  ,"8,829,380.51",23.7,"40,540.82",25.63,"158,147.87"
954,2007-02-20,D1  ,"6,455,101.86",17.33,"46,732.89",29.55,"158,147.87"
955,2007-02-20,D2  ,"17,740,479.36",47.62,"46,875.22",29.64,"158,147.87"
956,2007-02-27,D0  ,"7,521,645.66",20.19,"32,532.59",20.57,"158,147.87"
957,2007-02-27,D1  ,"6,418,348.69",17.23,"39,887.99",25.22,"158,147.87"
958,2007-02-27,D2  ,"17,624,943.24",47.31,"45,544.49",28.8,"158,147.87"
959,2007-03-06,D0  ,"7,521,645.66",20.19,"32,532.59",20.57,"158,147.87"
960,2007-03-06,D1  ,"6,418,348.69",17.23,"39,887.99",25.22,"158,147.87"
961,2007-03-06,D2  ,"17,624,943.24",47.31,"45,544.49",28.8,"158,147.87"
962,2007-03-13,D0  ,"6,853,057.46",18.4,"24,071.78",15.22,"158,147.87"
963,2007-03-13,D1  ,"5,572,985.53",14.96,"42,350.76",26.78,"158,147.87"
964,2007-03-13,D2  ,"4,767,988.25",12.8,"17,960.84",11.36,"158,147.87"
965,2007-03-13,D3  ,"14,370,906.34",38.58,"33,581.69",21.23,"158,147.87"
966,2007-03-20,D0  ,"6,764,529.31",18.16,"23,663.91",14.96,"158,147.87"
967,2007-03-20,D1  ,"5,574,513.42",14.96,"42,706.61",27.0,"158,147.87"
968,2007-03-20,D2  ,"4,767,988.25",12.8,"17,960.84",11.36,"158,147.87"
969,2007-03-20,D3  ,"14,370,906.34",38.58,"33,581.69",21.23,"158,147.87"
970,2007-03-27,D0  ,"11,283,775.47",30.29,"30,531.53",19.31,"158,147.87"
971,2007-03-27,D1  ,"5,572,867.20",14.96,"42,790.24",27.06,"158,147.87"
972,2007-03-27,D2  ,"4,773,237.72",12.81,"19,558.50",12.37,"158,147.87"
973,2007-03-27,D3  ,"14,371,485.39",38.58,"33,714.38",21.32,"158,147.87"
974,2007-04-03,D0  ,"11,874,999.31",31.88,"45,006.71",28.46,"158,147.87"
975,2007-04-03,D1  ,"5,995,940.26",16.09,"47,463.02",30.01,"158,147.87"
976,2007-04-03,D2  ,"4,771,304.40",12.81,"18,491.43",11.69,"158,147.87"
977,2007-04-03,D3  ,"14,371,485.39",38.58,"33,714.38",21.32,"158,147.87"
978,2007-04-10,D0  ,"2,874,729.61",7.72,"19,651.60",12.43,"158,147.87"
979,2007-04-10,D1  ,"14,146,017.98",37.97,"69,124.24",43.71,"158,147.87"
980,2007-04-10,D2  ,"5,677,757.24",15.24,"27,276.27",17.25,"158,147.87"
981,2007-04-10,D3  ,"14,371,485.39",38.58,"33,714.38",21.32,"158,147.87"
982,2007-04-17,D0  ,"284,961.42",0.76,"14,123.28",8.93,"158,147.87"
983,2007-04-17,D1  ,"12,690,518.73",34.06,"49,284.21",31.16,"158,147.87"
984,2007-04-17,D2  ,"5,238,036.00",14.06,"43,459.01",27.48,"158,147.87"
985,2007-04-17,D3  ,"18,889,636.52",50.71,"45,314.88",28.65,"158,147.87"
986,2007-04-24,D0  ,"840,675.64",2.26,"15,526.59",9.82,"158,147.87"
987,2007-04-24,D1  ,"12,617,400.64",33.87,"48,695.26",30.79,"158,147.87"
988,2007-04-24,D2  ,"4,676,445.78",12.55,"36,355.58",22.99,"158,147.87"
989,2007-04-24,D3  ,"18,889,636.52",50.71,"45,314.88",28.65,"158,147.87"
990,2007-05-01,D0  ,"879,449.72",2.36,"16,036.79",10.14,"158,147.87"
991,2007-05-01,D1  ,"12,581,315.82",33.77,"48,565.25",30.71,"158,147.87"
992,2007-05-01,D2  ,"4,676,445.78",12.55,"36,355.58",22.99,"158,147.87"
993,2007-05-01,D3  ,"18,889,636.52",50.71,"45,314.88",28.65,"158,147.87"
994,2007-05-08,D0  ,"879,449.72",2.36,"16,036.79",10.14,"158,147.87"
995,2007-05-08,D1  ,"12,581,315.82",33.77,"48,565.25",30.71,"158,147.87"
996,2007-05-08,D2  ,"4,676,445.78",12.55,"36,355.58",22.99,"158,147.87"
997,2007-05-08,D3  ,"18,889,636.52",50.71,"45,314.88",28.65,"158,147.87"
998,2007-05-15,D0  ,"199,032.15",0.53,"10,954.99",6.93,"158,147.87"
999,2007-05-15,D1  ,"12,178,048.86",32.69,"46,349.24",29.31,"158,147.87"
1000,2007-05-15,D2  ,"5,872,895.14",15.76,"50,290.86",31.8,"158,147.87"
1001,2007-05-15,D3  ,"18,889,636.52",50.71,"45,314.88",28.65,"158,147.87"
1002,2007-05-22,D0  ,"112,356.64",0.3,"7,322.03",4.63,"158,147.87"
1003,2007-05-22,D1  ,"8,310,198.22",22.31,"42,250.68",26.72,"158,147.87"
1004,2007-05-22,D2  ,"6,654,431.90",17.86,"48,954.29",30.95,"158,147.87"
1005,2007-05-22,D3  ,"22,062,625.91",59.22,"54,382.97",34.39,"158,147.87"
1006,2007-05-29,D0  ,"104,422.78",0.28,"6,909.18",4.37,"158,147.87"
1007,2007-05-29,D1  ,"8,318,132.08",22.33,"42,663.53",26.98,"158,147.87"
1008,2007-05-29,D2  ,"6,644,023.85",17.83,"48,930.32",30.94,"158,147.87"
1009,2007-05-29,D3  ,"22,073,033.95",59.25,"54,406.95",34.4,"158,147.87"
1010,2007-06-05,D0  ,"104,422.78",0.28,"6,909.18",4.37,"158,147.87"
1011,2007-06-05,D1  ,"8,318,132.08",22.33,"42,663.53",26.98,"158,147.87"
1012,2007-06-05,D2  ,"6,645,616.77",17.84,"48,935.07",30.94,"158,147.87"
1013,2007-06-05,D3  ,"22,071,441.03",59.25,"54,402.20",34.4,"158,147.87"
1014,2007-06-12,D0  ,"104,422.78",0.28,"6,909.18",4.37,"158,147.87"
1015,2007-06-12,D1  ,"8,318,132.08",22.33,"42,663.53",26.98,"158,147.87"
1016,2007-06-12,D2  ,"6,649,029.50",17.85,"48,942.04",30.95,"158,147.87"
1017,2007-06-12,D3  ,"22,068,028.30",59.24,"54,395.23",34.4,"158,147.87"
1018,2007-06-19,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1019,2007-06-19,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1020,2007-06-19,D2  ,"6,649,215.71",17.85,"49,074.09",31.03,"158,147.87"
1021,2007-06-19,D3  ,"22,067,842.07",59.24,"54,263.18",34.31,"158,147.87"
1022,2007-06-26,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1023,2007-06-26,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1024,2007-06-26,D2  ,"6,652,032.43",17.86,"49,081.81",31.04,"158,147.87"
1025,2007-06-26,D3  ,"22,065,025.35",59.23,"54,255.46",34.31,"158,147.87"
1026,2007-07-03,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1027,2007-07-03,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1028,2007-07-03,D2  ,"6,648,066.83",17.85,"47,756.27",30.2,"158,147.87"
1029,2007-07-03,D3  ,"22,068,990.95",59.24,"55,580.99",35.14,"158,147.87"
1030,2007-07-10,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1031,2007-07-10,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1032,2007-07-10,D2  ,"6,643,948.90",17.83,"47,742.47",30.19,"158,147.87"
1033,2007-07-10,D3  ,"22,073,108.88",59.25,"55,594.79",35.15,"158,147.87"
1034,2007-07-17,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1035,2007-07-17,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1036,2007-07-17,D2  ,"6,646,919.19",17.84,"47,755.70",30.2,"158,147.87"
1037,2007-07-17,D3  ,"22,070,138.59",59.24,"55,581.56",35.15,"158,147.87"
1038,2007-07-24,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1039,2007-07-24,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1040,2007-07-24,D2  ,"6,643,948.90",17.83,"47,742.47",30.19,"158,147.87"
1041,2007-07-24,D3  ,"22,073,108.88",59.25,"55,594.79",35.15,"158,147.87"
1042,2007-07-31,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1043,2007-07-31,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1044,2007-07-31,D2  ,"6,643,948.90",17.83,"47,742.47",30.19,"158,147.87"
1045,2007-07-31,D3  ,"22,073,108.88",59.25,"55,594.79",35.15,"158,147.87"
1046,2007-08-07,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1047,2007-08-07,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1048,2007-08-07,D2  ,"6,646,540.22",17.84,"47,753.45",30.2,"158,147.87"
1049,2007-08-07,D3  ,"22,070,517.57",59.24,"55,583.82",35.15,"158,147.87"
1050,2007-08-14,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1051,2007-08-14,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1052,2007-08-14,D2  ,"6,645,537.18",17.84,"47,624.35",30.11,"158,147.87"
1053,2007-08-14,D3  ,"22,071,520.60",59.25,"55,712.91",35.23,"158,147.87"
1054,2007-08-21,D0  ,"218,766.52",0.59,"12,147.08",7.68,"158,147.87"
1055,2007-08-21,D1  ,"8,318,132.11",22.33,"42,663.53",26.98,"158,147.87"
1056,2007-08-21,D2  ,"6,643,391.03",17.83,"47,619.34",30.11,"158,147.87"
1057,2007-08-21,D3  ,"22,073,666.75",59.25,"55,717.92",35.23,"158,147.87"
1058,2007-08-28,D0  ,"216,197.63",0.58,"11,770.45",7.44,"158,147.87"
1059,2007-08-28,D1  ,"8,320,701.00",22.34,"43,040.16",27.22,"158,147.87"
1060,2007-08-28,D2  ,"6,655,467.20",17.87,"47,654.14",30.13,"158,147.87"
1061,2007-08-28,D3  ,"22,061,590.59",59.22,"55,683.12",35.21,"158,147.87"
1062,2007-09-04,D0  ,"216,197.63",0.58,"11,770.45",7.44,"158,147.87"
1063,2007-09-04,D1  ,"8,320,701.00",22.34,"43,040.16",27.22,"158,147.87"
1064,2007-09-04,D2  ,"6,651,225.63",17.85,"47,641.90",30.12,"158,147.87"
1065,2007-09-04,D3  ,"22,065,832.15",59.23,"55,695.36",35.22,"158,147.87"
1066,2007-09-11,D0  ,"216,197.63",0.58,"11,770.45",7.44,"158,147.87"
1067,2007-09-11,D1  ,"8,320,701.00",22.34,"43,040.16",27.22,"158,147.87"
1068,2007-09-11,D2  ,"6,645,300.39",17.84,"47,631.73",30.12,"158,147.87"
1069,2007-09-11,D3  ,"22,071,757.40",59.25,"55,705.53",35.22,"158,147.87"
1070,2007-09-18,D0  ,"216,197.63",0.58,"11,770.45",7.44,"158,147.87"
1071,2007-09-18,D1  ,"8,320,701.00",22.34,"43,040.16",27.22,"158,147.87"
1072,2007-09-18,D2  ,"6,643,391.03",17.83,"47,619.34",30.11,"158,147.87"
1073,2007-09-18,D3  ,"22,073,666.75",59.25,"55,717.92",35.23,"158,147.87"
1074,2007-09-25,D0  ,"216,197.63",0.58,"11,770.45",7.44,"158,147.87"
1075,2007-09-25,D1  ,"8,338,064.38",22.38,"44,175.32",27.93,"158,147.87"
1076,2007-09-25,D2  ,"6,842,637.38",18.37,"48,806.65",30.86,"158,147.87"
1077,2007-09-25,D3  ,"21,857,057.03",58.67,"53,395.45",33.76,"158,147.87"
1078,2007-10-02,D0  ,"216,197.63",0.58,"11,770.45",7.44,"158,147.87"
1079,2007-10-02,D1  ,"8,338,064.38",22.38,"44,175.32",27.93,"158,147.87"
1080,2007-10-02,D2  ,"6,842,637.38",18.37,"48,806.65",30.86,"158,147.87"
1081,2007-10-02,D3  ,"21,857,057.03",58.67,"53,395.45",33.76,"158,147.87"
1082,2007-10-09,D0  ,"211,637.52",0.57,"11,607.86",7.34,"158,147.87"
1083,2007-10-09,D1  ,"8,338,064.38",22.38,"44,175.32",27.93,"158,147.87"
1084,2007-10-09,D2  ,"6,846,987.19",18.38,"48,826.29",30.87,"158,147.87"
1085,2007-10-09,D3  ,"21,852,707.22",58.66,"53,375.80",33.75,"158,147.87"
1086,2007-10-16,D0  ,"175,057.10",0.47,"9,921.43",6.27,"158,147.87"
1087,2007-10-16,D1  ,"8,338,064.38",22.38,"44,175.32",27.93,"158,147.87"
1088,2007-10-16,D2  ,"6,843,091.50",18.37,"48,809.59",30.86,"158,147.87"
1089,2007-10-16,D3  ,"21,856,602.91",58.67,"53,392.51",33.76,"158,147.87"
1090,2007-10-23,D0  ,"284,813.93",0.76,"13,133.44",8.3,"158,147.87"
1091,2007-10-23,D1  ,"8,088,682.07",21.71,"33,946.20",21.46,"158,147.87"
1092,2007-10-23,D2  ,"6,854,401.39",18.4,"48,839.66",30.88,"158,147.87"
1093,2007-10-23,D3  ,"21,845,293.02",58.64,"53,362.44",33.74,"158,147.87"
1094,2007-10-30,D0  ,"333,249.97",0.89,"9,959.00",6.3,"158,147.87"
1095,2007-10-30,D1  ,"10,636,215.77",28.55,"41,958.88",26.53,"158,147.87"
1096,2007-10-30,D2  ,"4,180,030.15",11.22,"38,937.80",24.62,"158,147.87"
1097,2007-10-30,D3  ,"21,854,492.17",58.66,"53,264.24",33.68,"158,147.87"
1098,2007-11-06,D0  ,"333,249.97",0.89,"9,959.00",6.3,"158,147.87"
1099,2007-11-06,D1  ,"10,636,215.77",28.55,"41,958.88",26.53,"158,147.87"
1100,2007-11-06,D2  ,"4,178,572.98",11.22,"38,928.35",24.62,"158,147.87"
1101,2007-11-06,D3  ,"21,855,949.35",58.67,"53,273.70",33.69,"158,147.87"
