Acres Burned,Latitude,Longitude,Incident Start
448.0,32.575556,-117.026667,2019-08-01T14:53:15Z
84.0,38.3525,-121.123611,2019-08-02T09:23:00Z
50.0,38.622058,-121.114095,2019-08-02T14:45:00Z
103.0,41.43783,-120.23976,2019-08-02T16:53:18Z
340.0,37.908362,-121.872941,2019-08-03T08:16:00Z
156.0,34.677864,-118.752395,2019-08-03T17:01:15Z
26.0,34.202883,-116.4449,2019-08-03T17:22:51Z
30.0,40.55924,-122.25409,2019-08-04T17:18:21Z
29.0,35.287373,-118.623651,2019-08-05T13:56:02Z
94.0,33.740219,-117.333728,2019-08-05T15:36:23Z
58.0,37.968494,-121.678172,2019-08-07T15:13:52Z
130.0,40.886677,-120.336977,2019-08-07T17:21:13Z
107.0,40.900458,-121.320838,2019-08-07T18:48:57Z
20.0,38.99174,-122.7751,2019-08-08T14:55:59Z
21.0,37.949747,-120.420058,2019-08-08T16:16:40Z
1020.0,40.943799,-120.275298,2019-08-08T18:42:41Z
240.0,37.708743,-121.841879,2019-08-09T15:09:50Z
1301.0,42.033,-122.175,2019-08-09T23:08:25Z
33.0,39.171091,-121.423281,2019-08-10T18:47:02Z
20.0,33.909792,-117.004667,2019-08-12T10:53:10Z
46.0,40.46968,-122.54364,2019-08-12T14:16:53Z
225.0,39.005262,-123.195306,2019-08-12T17:10:00Z
105.0,34.675542,-118.342239,2019-08-13T14:37:54Z
81.0,38.455,-121.969167,2019-08-13T15:41:24Z
16.0,38.703889,-120.890556,2019-08-14T16:07:49Z
20.0,39.088333,-122.309167,2019-08-14T12:52:00Z
60.0,37.219717,-121.761974,2019-08-15T13:44:02Z
156.0,40.484329,-122.159393,2019-08-15T15:09:55Z
433.0,37.532028,-120.208019,2019-08-15T15:15:56Z
80.0,32.57394,-116.760465,2019-08-15T16:24:24Z
35.0,38.652475,-120.826165,2019-08-15T17:47:43Z
1507.0,32.573437,-116.658735,2019-08-16T06:14:55Z
1300.0,37.536069,-120.177018,2019-08-16T14:11:02Z
139.0,37.71734,-121.55867,2019-08-21T17:56:05Z
600.0,40.715556,-122.241944,2019-08-22T11:02:09Z
34.0,33.4506,-116.857817,2019-08-22T19:31:10Z
131.0,40.562,-120.544,2019-08-24T16:33:58Z
2438.0,39.892222,-120.029722,2019-08-24T17:25:04Z
80.0,33.77777348,-117.487578,2019-08-25T10:58:28Z
